text,regex
13-122,[0-9][0-9][-][0-9][0-9][0-9]
85-244,[0-9][0-9][-][0-9][0-9][0-9]
99-258,[0-9][0-9][-][0-9][0-9][0-9]
40-932,[0-9][0-9][-][0-9][0-9][0-9]
59-814,[0-9][0-9][-][0-9][0-9][0-9]
16-221,[0-9][0-9][-][0-9][0-9][0-9]
64-753,[0-9][0-9][-][0-9][0-9][0-9]
48-672,[0-9][0-9][-][0-9][0-9][0-9]
06-087,[0-9][0-9][-][0-9][0-9][0-9]
80-637,[0-9][0-9][-][0-9][0-9][0-9]
17-188,[0-9][0-9][-][0-9][0-9][0-9]
78-247,[0-9][0-9][-][0-9][0-9][0-9]
23-426,[0-9][0-9][-][0-9][0-9][0-9]
04-629,[0-9][0-9][-][0-9][0-9][0-9]
59-735,[0-9][0-9][-][0-9][0-9][0-9]
96-711,[0-9][0-9][-][0-9][0-9][0-9]
16-619,[0-9][0-9][-][0-9][0-9][0-9]
66-735,[0-9][0-9][-][0-9][0-9][0-9]
10-766,[0-9][0-9][-][0-9][0-9][0-9]
27-123,[0-9][0-9][-][0-9][0-9][0-9]
11-455,[0-9][0-9][-][0-9][0-9][0-9]
57-456,[0-9][0-9][-][0-9][0-9][0-9]
17-738,[0-9][0-9][-][0-9][0-9][0-9]
67-000,[0-9][0-9][-][0-9][0-9][0-9]
53-313,[0-9][0-9][-][0-9][0-9][0-9]
77-112,[0-9][0-9][-][0-9][0-9][0-9]
51-644,[0-9][0-9][-][0-9][0-9][0-9]
38-787,[0-9][0-9][-][0-9][0-9][0-9]
85-988,[0-9][0-9][-][0-9][0-9][0-9]
12-068,[0-9][0-9][-][0-9][0-9][0-9]
30-752,[0-9][0-9][-][0-9][0-9][0-9]
65-287,[0-9][0-9][-][0-9][0-9][0-9]
06-036,[0-9][0-9][-][0-9][0-9][0-9]
41-439,[0-9][0-9][-][0-9][0-9][0-9]
66-107,[0-9][0-9][-][0-9][0-9][0-9]
92-641,[0-9][0-9][-][0-9][0-9][0-9]
47-930,[0-9][0-9][-][0-9][0-9][0-9]
49-593,[0-9][0-9][-][0-9][0-9][0-9]
15-268,[0-9][0-9][-][0-9][0-9][0-9]
14-866,[0-9][0-9][-][0-9][0-9][0-9]
94-144,[0-9][0-9][-][0-9][0-9][0-9]
83-917,[0-9][0-9][-][0-9][0-9][0-9]
85-150,[0-9][0-9][-][0-9][0-9][0-9]
98-468,[0-9][0-9][-][0-9][0-9][0-9]
30-828,[0-9][0-9][-][0-9][0-9][0-9]
84-455,[0-9][0-9][-][0-9][0-9][0-9]
27-762,[0-9][0-9][-][0-9][0-9][0-9]
36-075,[0-9][0-9][-][0-9][0-9][0-9]
88-796,[0-9][0-9][-][0-9][0-9][0-9]
66-233,[0-9][0-9][-][0-9][0-9][0-9]
78-891,[0-9][0-9][-][0-9][0-9][0-9]
82-754,[0-9][0-9][-][0-9][0-9][0-9]
00-198,[0-9][0-9][-][0-9][0-9][0-9]
72-686,[0-9][0-9][-][0-9][0-9][0-9]
60-115,[0-9][0-9][-][0-9][0-9][0-9]
09-935,[0-9][0-9][-][0-9][0-9][0-9]
05-353,[0-9][0-9][-][0-9][0-9][0-9]
92-253,[0-9][0-9][-][0-9][0-9][0-9]
08-084,[0-9][0-9][-][0-9][0-9][0-9]
18-286,[0-9][0-9][-][0-9][0-9][0-9]
24-917,[0-9][0-9][-][0-9][0-9][0-9]
60-441,[0-9][0-9][-][0-9][0-9][0-9]
86-257,[0-9][0-9][-][0-9][0-9][0-9]
18-582,[0-9][0-9][-][0-9][0-9][0-9]
62-612,[0-9][0-9][-][0-9][0-9][0-9]
08-182,[0-9][0-9][-][0-9][0-9][0-9]
10-941,[0-9][0-9][-][0-9][0-9][0-9]
77-747,[0-9][0-9][-][0-9][0-9][0-9]
44-427,[0-9][0-9][-][0-9][0-9][0-9]
97-645,[0-9][0-9][-][0-9][0-9][0-9]
38-309,[0-9][0-9][-][0-9][0-9][0-9]
58-407,[0-9][0-9][-][0-9][0-9][0-9]
50-784,[0-9][0-9][-][0-9][0-9][0-9]
65-255,[0-9][0-9][-][0-9][0-9][0-9]
20-028,[0-9][0-9][-][0-9][0-9][0-9]
33-628,[0-9][0-9][-][0-9][0-9][0-9]
23-063,[0-9][0-9][-][0-9][0-9][0-9]
25-872,[0-9][0-9][-][0-9][0-9][0-9]
24-370,[0-9][0-9][-][0-9][0-9][0-9]
58-949,[0-9][0-9][-][0-9][0-9][0-9]
31-210,[0-9][0-9][-][0-9][0-9][0-9]
68-851,[0-9][0-9][-][0-9][0-9][0-9]
23-708,[0-9][0-9][-][0-9][0-9][0-9]
61-668,[0-9][0-9][-][0-9][0-9][0-9]
72-832,[0-9][0-9][-][0-9][0-9][0-9]
28-667,[0-9][0-9][-][0-9][0-9][0-9]
27-023,[0-9][0-9][-][0-9][0-9][0-9]
24-181,[0-9][0-9][-][0-9][0-9][0-9]
40-407,[0-9][0-9][-][0-9][0-9][0-9]
15-854,[0-9][0-9][-][0-9][0-9][0-9]
11-305,[0-9][0-9][-][0-9][0-9][0-9]
42-960,[0-9][0-9][-][0-9][0-9][0-9]
55-852,[0-9][0-9][-][0-9][0-9][0-9]
70-964,[0-9][0-9][-][0-9][0-9][0-9]
37-824,[0-9][0-9][-][0-9][0-9][0-9]
74-508,[0-9][0-9][-][0-9][0-9][0-9]
65-918,[0-9][0-9][-][0-9][0-9][0-9]
13-920,[0-9][0-9][-][0-9][0-9][0-9]
75-806,[0-9][0-9][-][0-9][0-9][0-9]
40-646,[0-9][0-9][-][0-9][0-9][0-9]
42-053,[0-9][0-9][-][0-9][0-9][0-9]
51-590,[0-9][0-9][-][0-9][0-9][0-9]
82-238,[0-9][0-9][-][0-9][0-9][0-9]
21-479,[0-9][0-9][-][0-9][0-9][0-9]
01-658,[0-9][0-9][-][0-9][0-9][0-9]
97-877,[0-9][0-9][-][0-9][0-9][0-9]
20-941,[0-9][0-9][-][0-9][0-9][0-9]
14-860,[0-9][0-9][-][0-9][0-9][0-9]
40-929,[0-9][0-9][-][0-9][0-9][0-9]
32-906,[0-9][0-9][-][0-9][0-9][0-9]
04-146,[0-9][0-9][-][0-9][0-9][0-9]
77-490,[0-9][0-9][-][0-9][0-9][0-9]
12-882,[0-9][0-9][-][0-9][0-9][0-9]
57-866,[0-9][0-9][-][0-9][0-9][0-9]
14-856,[0-9][0-9][-][0-9][0-9][0-9]
74-641,[0-9][0-9][-][0-9][0-9][0-9]
06-151,[0-9][0-9][-][0-9][0-9][0-9]
99-959,[0-9][0-9][-][0-9][0-9][0-9]
12-850,[0-9][0-9][-][0-9][0-9][0-9]
06-646,[0-9][0-9][-][0-9][0-9][0-9]
19-623,[0-9][0-9][-][0-9][0-9][0-9]
99-307,[0-9][0-9][-][0-9][0-9][0-9]
83-254,[0-9][0-9][-][0-9][0-9][0-9]
69-181,[0-9][0-9][-][0-9][0-9][0-9]
73-346,[0-9][0-9][-][0-9][0-9][0-9]
59-618,[0-9][0-9][-][0-9][0-9][0-9]
15-483,[0-9][0-9][-][0-9][0-9][0-9]
37-704,[0-9][0-9][-][0-9][0-9][0-9]
10-207,[0-9][0-9][-][0-9][0-9][0-9]
39-722,[0-9][0-9][-][0-9][0-9][0-9]
29-859,[0-9][0-9][-][0-9][0-9][0-9]
86-146,[0-9][0-9][-][0-9][0-9][0-9]
62-823,[0-9][0-9][-][0-9][0-9][0-9]
27-808,[0-9][0-9][-][0-9][0-9][0-9]
92-544,[0-9][0-9][-][0-9][0-9][0-9]
37-375,[0-9][0-9][-][0-9][0-9][0-9]
61-965,[0-9][0-9][-][0-9][0-9][0-9]
96-083,[0-9][0-9][-][0-9][0-9][0-9]
72-321,[0-9][0-9][-][0-9][0-9][0-9]
59-932,[0-9][0-9][-][0-9][0-9][0-9]
71-402,[0-9][0-9][-][0-9][0-9][0-9]
29-571,[0-9][0-9][-][0-9][0-9][0-9]
30-969,[0-9][0-9][-][0-9][0-9][0-9]
70-468,[0-9][0-9][-][0-9][0-9][0-9]
12-730,[0-9][0-9][-][0-9][0-9][0-9]
85-387,[0-9][0-9][-][0-9][0-9][0-9]
49-151,[0-9][0-9][-][0-9][0-9][0-9]
44-681,[0-9][0-9][-][0-9][0-9][0-9]
54-257,[0-9][0-9][-][0-9][0-9][0-9]
48-192,[0-9][0-9][-][0-9][0-9][0-9]
88-024,[0-9][0-9][-][0-9][0-9][0-9]
53-717,[0-9][0-9][-][0-9][0-9][0-9]
95-574,[0-9][0-9][-][0-9][0-9][0-9]
84-988,[0-9][0-9][-][0-9][0-9][0-9]
66-700,[0-9][0-9][-][0-9][0-9][0-9]
65-066,[0-9][0-9][-][0-9][0-9][0-9]
62-224,[0-9][0-9][-][0-9][0-9][0-9]
97-979,[0-9][0-9][-][0-9][0-9][0-9]
84-582,[0-9][0-9][-][0-9][0-9][0-9]
09-328,[0-9][0-9][-][0-9][0-9][0-9]
77-300,[0-9][0-9][-][0-9][0-9][0-9]
22-559,[0-9][0-9][-][0-9][0-9][0-9]
28-082,[0-9][0-9][-][0-9][0-9][0-9]
52-905,[0-9][0-9][-][0-9][0-9][0-9]
66-307,[0-9][0-9][-][0-9][0-9][0-9]
75-662,[0-9][0-9][-][0-9][0-9][0-9]
61-757,[0-9][0-9][-][0-9][0-9][0-9]
22-114,[0-9][0-9][-][0-9][0-9][0-9]
53-048,[0-9][0-9][-][0-9][0-9][0-9]
11-713,[0-9][0-9][-][0-9][0-9][0-9]
61-943,[0-9][0-9][-][0-9][0-9][0-9]
15-479,[0-9][0-9][-][0-9][0-9][0-9]
41-639,[0-9][0-9][-][0-9][0-9][0-9]
70-391,[0-9][0-9][-][0-9][0-9][0-9]
04-192,[0-9][0-9][-][0-9][0-9][0-9]
05-434,[0-9][0-9][-][0-9][0-9][0-9]
84-778,[0-9][0-9][-][0-9][0-9][0-9]
39-727,[0-9][0-9][-][0-9][0-9][0-9]
40-971,[0-9][0-9][-][0-9][0-9][0-9]
43-041,[0-9][0-9][-][0-9][0-9][0-9]
20-940,[0-9][0-9][-][0-9][0-9][0-9]
67-919,[0-9][0-9][-][0-9][0-9][0-9]
18-312,[0-9][0-9][-][0-9][0-9][0-9]
99-633,[0-9][0-9][-][0-9][0-9][0-9]
53-369,[0-9][0-9][-][0-9][0-9][0-9]
00-692,[0-9][0-9][-][0-9][0-9][0-9]
38-284,[0-9][0-9][-][0-9][0-9][0-9]
21-334,[0-9][0-9][-][0-9][0-9][0-9]
52-880,[0-9][0-9][-][0-9][0-9][0-9]
21-170,[0-9][0-9][-][0-9][0-9][0-9]
13-402,[0-9][0-9][-][0-9][0-9][0-9]
98-357,[0-9][0-9][-][0-9][0-9][0-9]
33-468,[0-9][0-9][-][0-9][0-9][0-9]
90-430,[0-9][0-9][-][0-9][0-9][0-9]
55-166,[0-9][0-9][-][0-9][0-9][0-9]
66-474,[0-9][0-9][-][0-9][0-9][0-9]
21-038,[0-9][0-9][-][0-9][0-9][0-9]
71-036,[0-9][0-9][-][0-9][0-9][0-9]
86-331,[0-9][0-9][-][0-9][0-9][0-9]
33-404,[0-9][0-9][-][0-9][0-9][0-9]
92-510,[0-9][0-9][-][0-9][0-9][0-9]
58-668,[0-9][0-9][-][0-9][0-9][0-9]
46-050,[0-9][0-9][-][0-9][0-9][0-9]
02-773,[0-9][0-9][-][0-9][0-9][0-9]
32-107,[0-9][0-9][-][0-9][0-9][0-9]
50-822,[0-9][0-9][-][0-9][0-9][0-9]
04-875,[0-9][0-9][-][0-9][0-9][0-9]
23-183,[0-9][0-9][-][0-9][0-9][0-9]
64-582,[0-9][0-9][-][0-9][0-9][0-9]
89-367,[0-9][0-9][-][0-9][0-9][0-9]
68-786,[0-9][0-9][-][0-9][0-9][0-9]
90-288,[0-9][0-9][-][0-9][0-9][0-9]
45-606,[0-9][0-9][-][0-9][0-9][0-9]
04-870,[0-9][0-9][-][0-9][0-9][0-9]
26-564,[0-9][0-9][-][0-9][0-9][0-9]
69-797,[0-9][0-9][-][0-9][0-9][0-9]
37-162,[0-9][0-9][-][0-9][0-9][0-9]
98-743,[0-9][0-9][-][0-9][0-9][0-9]
01-657,[0-9][0-9][-][0-9][0-9][0-9]
21-705,[0-9][0-9][-][0-9][0-9][0-9]
59-502,[0-9][0-9][-][0-9][0-9][0-9]
18-120,[0-9][0-9][-][0-9][0-9][0-9]
44-856,[0-9][0-9][-][0-9][0-9][0-9]
07-113,[0-9][0-9][-][0-9][0-9][0-9]
54-949,[0-9][0-9][-][0-9][0-9][0-9]
15-698,[0-9][0-9][-][0-9][0-9][0-9]
49-078,[0-9][0-9][-][0-9][0-9][0-9]
16-118,[0-9][0-9][-][0-9][0-9][0-9]
95-839,[0-9][0-9][-][0-9][0-9][0-9]
33-167,[0-9][0-9][-][0-9][0-9][0-9]
58-960,[0-9][0-9][-][0-9][0-9][0-9]
68-381,[0-9][0-9][-][0-9][0-9][0-9]
04-383,[0-9][0-9][-][0-9][0-9][0-9]
22-277,[0-9][0-9][-][0-9][0-9][0-9]
14-677,[0-9][0-9][-][0-9][0-9][0-9]
27-554,[0-9][0-9][-][0-9][0-9][0-9]
18-039,[0-9][0-9][-][0-9][0-9][0-9]
45-149,[0-9][0-9][-][0-9][0-9][0-9]
41-211,[0-9][0-9][-][0-9][0-9][0-9]
36-109,[0-9][0-9][-][0-9][0-9][0-9]
18-009,[0-9][0-9][-][0-9][0-9][0-9]
47-426,[0-9][0-9][-][0-9][0-9][0-9]
76-345,[0-9][0-9][-][0-9][0-9][0-9]
55-216,[0-9][0-9][-][0-9][0-9][0-9]
14-009,[0-9][0-9][-][0-9][0-9][0-9]
99-522,[0-9][0-9][-][0-9][0-9][0-9]
65-205,[0-9][0-9][-][0-9][0-9][0-9]
70-223,[0-9][0-9][-][0-9][0-9][0-9]
97-848,[0-9][0-9][-][0-9][0-9][0-9]
27-112,[0-9][0-9][-][0-9][0-9][0-9]
44-596,[0-9][0-9][-][0-9][0-9][0-9]
23-713,[0-9][0-9][-][0-9][0-9][0-9]
96-369,[0-9][0-9][-][0-9][0-9][0-9]
43-227,[0-9][0-9][-][0-9][0-9][0-9]
33-227,[0-9][0-9][-][0-9][0-9][0-9]
33-058,[0-9][0-9][-][0-9][0-9][0-9]
30-784,[0-9][0-9][-][0-9][0-9][0-9]
41-139,[0-9][0-9][-][0-9][0-9][0-9]
14-509,[0-9][0-9][-][0-9][0-9][0-9]
93-794,[0-9][0-9][-][0-9][0-9][0-9]
36-694,[0-9][0-9][-][0-9][0-9][0-9]
21-245,[0-9][0-9][-][0-9][0-9][0-9]
44-556,[0-9][0-9][-][0-9][0-9][0-9]
03-940,[0-9][0-9][-][0-9][0-9][0-9]
73-827,[0-9][0-9][-][0-9][0-9][0-9]
87-665,[0-9][0-9][-][0-9][0-9][0-9]
61-930,[0-9][0-9][-][0-9][0-9][0-9]
47-060,[0-9][0-9][-][0-9][0-9][0-9]
39-687,[0-9][0-9][-][0-9][0-9][0-9]
05-041,[0-9][0-9][-][0-9][0-9][0-9]
40-860,[0-9][0-9][-][0-9][0-9][0-9]
65-803,[0-9][0-9][-][0-9][0-9][0-9]
20-811,[0-9][0-9][-][0-9][0-9][0-9]
71-948,[0-9][0-9][-][0-9][0-9][0-9]
96-983,[0-9][0-9][-][0-9][0-9][0-9]
05-983,[0-9][0-9][-][0-9][0-9][0-9]
17-825,[0-9][0-9][-][0-9][0-9][0-9]
03-487,[0-9][0-9][-][0-9][0-9][0-9]
18-465,[0-9][0-9][-][0-9][0-9][0-9]
41-330,[0-9][0-9][-][0-9][0-9][0-9]
59-216,[0-9][0-9][-][0-9][0-9][0-9]
95-103,[0-9][0-9][-][0-9][0-9][0-9]
42-571,[0-9][0-9][-][0-9][0-9][0-9]
77-153,[0-9][0-9][-][0-9][0-9][0-9]
43-607,[0-9][0-9][-][0-9][0-9][0-9]
72-317,[0-9][0-9][-][0-9][0-9][0-9]
14-859,[0-9][0-9][-][0-9][0-9][0-9]
15-094,[0-9][0-9][-][0-9][0-9][0-9]
36-670,[0-9][0-9][-][0-9][0-9][0-9]
30-826,[0-9][0-9][-][0-9][0-9][0-9]
21-008,[0-9][0-9][-][0-9][0-9][0-9]
96-707,[0-9][0-9][-][0-9][0-9][0-9]
02-431,[0-9][0-9][-][0-9][0-9][0-9]
03-514,[0-9][0-9][-][0-9][0-9][0-9]
43-242,[0-9][0-9][-][0-9][0-9][0-9]
21-654,[0-9][0-9][-][0-9][0-9][0-9]
22-502,[0-9][0-9][-][0-9][0-9][0-9]
59-089,[0-9][0-9][-][0-9][0-9][0-9]
01-801,[0-9][0-9][-][0-9][0-9][0-9]
16-036,[0-9][0-9][-][0-9][0-9][0-9]
24-977,[0-9][0-9][-][0-9][0-9][0-9]
81-429,[0-9][0-9][-][0-9][0-9][0-9]
61-824,[0-9][0-9][-][0-9][0-9][0-9]
85-701,[0-9][0-9][-][0-9][0-9][0-9]
49-988,[0-9][0-9][-][0-9][0-9][0-9]
21-901,[0-9][0-9][-][0-9][0-9][0-9]
13-191,[0-9][0-9][-][0-9][0-9][0-9]
95-421,[0-9][0-9][-][0-9][0-9][0-9]
07-964,[0-9][0-9][-][0-9][0-9][0-9]
72-355,[0-9][0-9][-][0-9][0-9][0-9]
86-267,[0-9][0-9][-][0-9][0-9][0-9]
15-836,[0-9][0-9][-][0-9][0-9][0-9]
91-157,[0-9][0-9][-][0-9][0-9][0-9]
21-746,[0-9][0-9][-][0-9][0-9][0-9]
98-132,[0-9][0-9][-][0-9][0-9][0-9]
88-022,[0-9][0-9][-][0-9][0-9][0-9]
52-538,[0-9][0-9][-][0-9][0-9][0-9]
09-664,[0-9][0-9][-][0-9][0-9][0-9]
29-534,[0-9][0-9][-][0-9][0-9][0-9]
84-551,[0-9][0-9][-][0-9][0-9][0-9]
59-414,[0-9][0-9][-][0-9][0-9][0-9]
44-352,[0-9][0-9][-][0-9][0-9][0-9]
65-485,[0-9][0-9][-][0-9][0-9][0-9]
18-576,[0-9][0-9][-][0-9][0-9][0-9]
89-910,[0-9][0-9][-][0-9][0-9][0-9]
43-704,[0-9][0-9][-][0-9][0-9][0-9]
72-410,[0-9][0-9][-][0-9][0-9][0-9]
60-475,[0-9][0-9][-][0-9][0-9][0-9]
39-182,[0-9][0-9][-][0-9][0-9][0-9]
13-529,[0-9][0-9][-][0-9][0-9][0-9]
87-467,[0-9][0-9][-][0-9][0-9][0-9]
65-710,[0-9][0-9][-][0-9][0-9][0-9]
25-516,[0-9][0-9][-][0-9][0-9][0-9]
65-542,[0-9][0-9][-][0-9][0-9][0-9]
15-956,[0-9][0-9][-][0-9][0-9][0-9]
27-341,[0-9][0-9][-][0-9][0-9][0-9]
73-036,[0-9][0-9][-][0-9][0-9][0-9]
32-322,[0-9][0-9][-][0-9][0-9][0-9]
63-116,[0-9][0-9][-][0-9][0-9][0-9]
06-075,[0-9][0-9][-][0-9][0-9][0-9]
84-514,[0-9][0-9][-][0-9][0-9][0-9]
76-061,[0-9][0-9][-][0-9][0-9][0-9]
49-125,[0-9][0-9][-][0-9][0-9][0-9]
73-455,[0-9][0-9][-][0-9][0-9][0-9]
57-288,[0-9][0-9][-][0-9][0-9][0-9]
66-945,[0-9][0-9][-][0-9][0-9][0-9]
81-484,[0-9][0-9][-][0-9][0-9][0-9]
32-270,[0-9][0-9][-][0-9][0-9][0-9]
19-261,[0-9][0-9][-][0-9][0-9][0-9]
66-936,[0-9][0-9][-][0-9][0-9][0-9]
89-846,[0-9][0-9][-][0-9][0-9][0-9]
41-410,[0-9][0-9][-][0-9][0-9][0-9]
52-084,[0-9][0-9][-][0-9][0-9][0-9]
04-244,[0-9][0-9][-][0-9][0-9][0-9]
68-294,[0-9][0-9][-][0-9][0-9][0-9]
54-517,[0-9][0-9][-][0-9][0-9][0-9]
44-234,[0-9][0-9][-][0-9][0-9][0-9]
66-483,[0-9][0-9][-][0-9][0-9][0-9]
06-180,[0-9][0-9][-][0-9][0-9][0-9]
45-113,[0-9][0-9][-][0-9][0-9][0-9]
28-325,[0-9][0-9][-][0-9][0-9][0-9]
42-361,[0-9][0-9][-][0-9][0-9][0-9]
94-115,[0-9][0-9][-][0-9][0-9][0-9]
17-660,[0-9][0-9][-][0-9][0-9][0-9]
30-558,[0-9][0-9][-][0-9][0-9][0-9]
44-518,[0-9][0-9][-][0-9][0-9][0-9]
34-898,[0-9][0-9][-][0-9][0-9][0-9]
03-915,[0-9][0-9][-][0-9][0-9][0-9]
24-598,[0-9][0-9][-][0-9][0-9][0-9]
58-786,[0-9][0-9][-][0-9][0-9][0-9]
98-998,[0-9][0-9][-][0-9][0-9][0-9]
18-176,[0-9][0-9][-][0-9][0-9][0-9]
88-428,[0-9][0-9][-][0-9][0-9][0-9]
62-537,[0-9][0-9][-][0-9][0-9][0-9]
81-108,[0-9][0-9][-][0-9][0-9][0-9]
29-440,[0-9][0-9][-][0-9][0-9][0-9]
67-865,[0-9][0-9][-][0-9][0-9][0-9]
37-174,[0-9][0-9][-][0-9][0-9][0-9]
13-425,[0-9][0-9][-][0-9][0-9][0-9]
22-491,[0-9][0-9][-][0-9][0-9][0-9]
13-154,[0-9][0-9][-][0-9][0-9][0-9]
98-931,[0-9][0-9][-][0-9][0-9][0-9]
96-358,[0-9][0-9][-][0-9][0-9][0-9]
72-449,[0-9][0-9][-][0-9][0-9][0-9]
33-587,[0-9][0-9][-][0-9][0-9][0-9]
64-818,[0-9][0-9][-][0-9][0-9][0-9]
78-191,[0-9][0-9][-][0-9][0-9][0-9]
09-308,[0-9][0-9][-][0-9][0-9][0-9]
31-263,[0-9][0-9][-][0-9][0-9][0-9]
54-148,[0-9][0-9][-][0-9][0-9][0-9]
06-723,[0-9][0-9][-][0-9][0-9][0-9]
93-376,[0-9][0-9][-][0-9][0-9][0-9]
42-482,[0-9][0-9][-][0-9][0-9][0-9]
91-730,[0-9][0-9][-][0-9][0-9][0-9]
85-612,[0-9][0-9][-][0-9][0-9][0-9]
80-291,[0-9][0-9][-][0-9][0-9][0-9]
51-004,[0-9][0-9][-][0-9][0-9][0-9]
44-284,[0-9][0-9][-][0-9][0-9][0-9]
04-777,[0-9][0-9][-][0-9][0-9][0-9]
61-280,[0-9][0-9][-][0-9][0-9][0-9]
97-813,[0-9][0-9][-][0-9][0-9][0-9]
53-862,[0-9][0-9][-][0-9][0-9][0-9]
30-839,[0-9][0-9][-][0-9][0-9][0-9]
02-490,[0-9][0-9][-][0-9][0-9][0-9]
94-598,[0-9][0-9][-][0-9][0-9][0-9]
54-951,[0-9][0-9][-][0-9][0-9][0-9]
33-194,[0-9][0-9][-][0-9][0-9][0-9]
60-370,[0-9][0-9][-][0-9][0-9][0-9]
06-454,[0-9][0-9][-][0-9][0-9][0-9]
15-300,[0-9][0-9][-][0-9][0-9][0-9]
62-880,[0-9][0-9][-][0-9][0-9][0-9]
07-959,[0-9][0-9][-][0-9][0-9][0-9]
45-077,[0-9][0-9][-][0-9][0-9][0-9]
52-843,[0-9][0-9][-][0-9][0-9][0-9]
89-005,[0-9][0-9][-][0-9][0-9][0-9]
28-267,[0-9][0-9][-][0-9][0-9][0-9]
16-980,[0-9][0-9][-][0-9][0-9][0-9]
20-585,[0-9][0-9][-][0-9][0-9][0-9]
17-576,[0-9][0-9][-][0-9][0-9][0-9]
31-684,[0-9][0-9][-][0-9][0-9][0-9]
82-157,[0-9][0-9][-][0-9][0-9][0-9]
72-624,[0-9][0-9][-][0-9][0-9][0-9]
35-934,[0-9][0-9][-][0-9][0-9][0-9]
61-746,[0-9][0-9][-][0-9][0-9][0-9]
03-417,[0-9][0-9][-][0-9][0-9][0-9]
72-041,[0-9][0-9][-][0-9][0-9][0-9]
87-283,[0-9][0-9][-][0-9][0-9][0-9]
53-298,[0-9][0-9][-][0-9][0-9][0-9]
65-267,[0-9][0-9][-][0-9][0-9][0-9]
80-215,[0-9][0-9][-][0-9][0-9][0-9]
19-201,[0-9][0-9][-][0-9][0-9][0-9]
65-907,[0-9][0-9][-][0-9][0-9][0-9]
97-670,[0-9][0-9][-][0-9][0-9][0-9]
96-743,[0-9][0-9][-][0-9][0-9][0-9]
61-260,[0-9][0-9][-][0-9][0-9][0-9]
14-035,[0-9][0-9][-][0-9][0-9][0-9]
67-237,[0-9][0-9][-][0-9][0-9][0-9]
53-785,[0-9][0-9][-][0-9][0-9][0-9]
29-125,[0-9][0-9][-][0-9][0-9][0-9]
48-720,[0-9][0-9][-][0-9][0-9][0-9]
43-285,[0-9][0-9][-][0-9][0-9][0-9]
83-999,[0-9][0-9][-][0-9][0-9][0-9]
93-037,[0-9][0-9][-][0-9][0-9][0-9]
82-431,[0-9][0-9][-][0-9][0-9][0-9]
58-078,[0-9][0-9][-][0-9][0-9][0-9]
59-033,[0-9][0-9][-][0-9][0-9][0-9]
80-654,[0-9][0-9][-][0-9][0-9][0-9]
93-170,[0-9][0-9][-][0-9][0-9][0-9]
75-742,[0-9][0-9][-][0-9][0-9][0-9]
32-182,[0-9][0-9][-][0-9][0-9][0-9]
92-088,[0-9][0-9][-][0-9][0-9][0-9]
51-588,[0-9][0-9][-][0-9][0-9][0-9]
21-032,[0-9][0-9][-][0-9][0-9][0-9]
54-300,[0-9][0-9][-][0-9][0-9][0-9]
58-062,[0-9][0-9][-][0-9][0-9][0-9]
52-380,[0-9][0-9][-][0-9][0-9][0-9]
90-021,[0-9][0-9][-][0-9][0-9][0-9]
18-919,[0-9][0-9][-][0-9][0-9][0-9]
59-075,[0-9][0-9][-][0-9][0-9][0-9]
74-042,[0-9][0-9][-][0-9][0-9][0-9]
05-160,[0-9][0-9][-][0-9][0-9][0-9]
78-571,[0-9][0-9][-][0-9][0-9][0-9]
27-918,[0-9][0-9][-][0-9][0-9][0-9]
82-447,[0-9][0-9][-][0-9][0-9][0-9]
14-873,[0-9][0-9][-][0-9][0-9][0-9]
55-567,[0-9][0-9][-][0-9][0-9][0-9]
61-137,[0-9][0-9][-][0-9][0-9][0-9]
53-743,[0-9][0-9][-][0-9][0-9][0-9]
19-662,[0-9][0-9][-][0-9][0-9][0-9]
74-734,[0-9][0-9][-][0-9][0-9][0-9]
33-140,[0-9][0-9][-][0-9][0-9][0-9]
53-051,[0-9][0-9][-][0-9][0-9][0-9]
95-843,[0-9][0-9][-][0-9][0-9][0-9]
49-555,[0-9][0-9][-][0-9][0-9][0-9]
48-889,[0-9][0-9][-][0-9][0-9][0-9]
06-711,[0-9][0-9][-][0-9][0-9][0-9]
12-466,[0-9][0-9][-][0-9][0-9][0-9]
12-600,[0-9][0-9][-][0-9][0-9][0-9]
91-352,[0-9][0-9][-][0-9][0-9][0-9]
26-344,[0-9][0-9][-][0-9][0-9][0-9]
76-567,[0-9][0-9][-][0-9][0-9][0-9]
17-211,[0-9][0-9][-][0-9][0-9][0-9]
34-645,[0-9][0-9][-][0-9][0-9][0-9]
82-090,[0-9][0-9][-][0-9][0-9][0-9]
87-350,[0-9][0-9][-][0-9][0-9][0-9]
04-177,[0-9][0-9][-][0-9][0-9][0-9]
79-774,[0-9][0-9][-][0-9][0-9][0-9]
15-675,[0-9][0-9][-][0-9][0-9][0-9]
79-661,[0-9][0-9][-][0-9][0-9][0-9]
48-778,[0-9][0-9][-][0-9][0-9][0-9]
84-493,[0-9][0-9][-][0-9][0-9][0-9]
08-004,[0-9][0-9][-][0-9][0-9][0-9]
17-400,[0-9][0-9][-][0-9][0-9][0-9]
13-320,[0-9][0-9][-][0-9][0-9][0-9]
45-881,[0-9][0-9][-][0-9][0-9][0-9]
56-845,[0-9][0-9][-][0-9][0-9][0-9]
88-671,[0-9][0-9][-][0-9][0-9][0-9]
26-490,[0-9][0-9][-][0-9][0-9][0-9]
63-705,[0-9][0-9][-][0-9][0-9][0-9]
